product_name	volume_ml	weight
Caudalie Resvératrol Lift Firming Serum (30ml)	30	31.5
Pai Skincare Instant Calm Redness Serum Sea Aster and Wild Oat 30ml	30	31.5
Gallinée Probiotic Youthful Serum 30ml	30	31.5
PIXI Hydrating Milky Serum 30ml	30	31.5
Darphin Intral Redness Relief Soothing Serum	117	122.85
Zelens Z Hyaluron Hyaluronic Acid Complex Serum Drops 30ml	30	31.5
Dr Dennis Gross Skincare C+Collagen Brighten and Firm Vitamin C Serum 30ml	30	31.5
Estée Lauder Perfectionist Pro Rapid Firm + Lift Serum Hexapeptide-8 50ml	50	52.5
GLAMGLOW Superserum 30ml	30	31.5
Too Faced Hangover Good in Bed Ultra-Hydrating Replenishing Serum 29ml	29	30.45
Elizabeth Arden Prevage Face Advanced Anti-Aging Serum (50ml)	50	52.5
Liz Earle Superskin Face Serum 30ml Pump	30	31.5
Sukin Purely Ageless Firming Serum 30ml	30	31.5
Bobbi Brown Extra Repair Serum 30ml	30	31.5
Indeed Labs Eysilix Serum 2 15ml	15	15.75
Natio Advanced Lifting and Firming Serum (30ml)	30	31.5
